Approving	Years in Office	Display	Had Major Event	Pres - Obama	Conflict Name	Conflict Status	Disapproving	End Date	F15	F16	F17	Major Event	Number of Records	Party	Pres - Clinton	Pres - Bush I	Pres - Reagan	Pres - Bush II	Pres - Ford	Pres - Nixon	Pres - LBJ	Pres - JFK	Pres - Eisenhower	Pres - Truman	Pres - Carter	Pres - Trump	Pres - Roosevelt	President Number	President	Start Date	Term Began	Term Ended	Week Ending Date	Unsure/No Data
69	12.115068493	1	No		World War II	War	24	7/22/41					1	Democrat													Franklin D. Roosevelt	32	Franklin D. Roosevelt	7/22/41	3/4/33	4/12/45	7/26/41	6
65	12.115068493	1	No		World War II	War	25	7/29/41					1	Democrat													Franklin D. Roosevelt	32	Franklin D. Roosevelt	7/29/41	3/4/33	4/12/45	8/2/41	8
68	12.115068493	1	No		World War II	War	23	8/5/41					1	Democrat													Franklin D. Roosevelt	32	Franklin D. Roosevelt	8/5/41	3/4/33	4/12/45	8/9/41	7
65	12.115068493	1	No		World War II	War	26	8/19/41					1	Democrat													Franklin D. Roosevelt	32	Franklin D. Roosevelt	8/19/41	3/4/33	4/12/45	8/23/41	7
67	12.115068493	1	No		World War II	War	24	8/26/41					1	Democrat													Franklin D. Roosevelt	32	Franklin D. Roosevelt	8/26/41	3/4/33	4/12/45	8/30/41	7
70	12.115068493	1	No		World War II	War	23	9/9/41					1	Democrat													Franklin D. Roosevelt	32	Franklin D. Roosevelt	9/9/41	3/4/33	4/12/45	9/13/41	6
70	12.115068493	1	No		World War II	War	24	9/17/41					1	Democrat													Franklin D. Roosevelt	32	Franklin D. Roosevelt	9/17/41	3/4/33	4/12/45	9/20/41	5
83	12.115068493	1	Yes		World War II	War	10	1/23/42				The Office of Price Administration was established.[233]	1	Democrat													Franklin D. Roosevelt	32	Franklin D. Roosevelt	1/23/42	3/4/33	4/12/45	1/24/42	5
78	12.115068493	1	No		World War II	War	13	2/28/42					1	Democrat													Franklin D. Roosevelt	32	Franklin D. Roosevelt	2/23/42	3/4/33	4/12/45	2/28/42	7
74	12.115068493	1	No		World War II	War	15	3/17/42					1	Democrat													Franklin D. Roosevelt	32	Franklin D. Roosevelt	3/12/42	3/4/33	4/12/45	3/21/42	9
75	12.115068493	1	No		World War II	War	14	3/17/42					1	Democrat													Franklin D. Roosevelt	32	Franklin D. Roosevelt	3/12/42	3/4/33	4/12/45	3/21/42	9
77	12.115068493	1	No		World War II	War	15	6/9/42					1	Democrat													Franklin D. Roosevelt	32	Franklin D. Roosevelt	6/9/42	3/4/33	4/12/45	6/13/42	6
79	12.115068493	1	No		World War II	War	12	7/1/42					1	Democrat													Franklin D. Roosevelt	32	Franklin D. Roosevelt	7/1/42	3/4/33	4/12/45	7/4/42	8
74	12.115068493	1	Yes		World War II	War	16	8/13/42				The Manhattan Project, leading to the development of the first atomic bomb, began.[242]	1	Democrat													Franklin D. Roosevelt	32	Franklin D. Roosevelt	8/13/42	3/4/33	4/12/45	8/15/42	8
74	12.115068493	1	No		World War II	War	18	9/3/42					1	Democrat													Franklin D. Roosevelt	32	Franklin D. Roosevelt	9/3/42	3/4/33	4/12/45	9/5/42	6
72	12.115068493	1	No		World War II	War	18	11/17/42					1	Democrat													Franklin D. Roosevelt	32	Franklin D. Roosevelt	11/17/42	3/4/33	4/12/45	11/21/42	8
75	12.115068493	1	No		World War II	War	14	1/7/43					1	Democrat													Franklin D. Roosevelt	32	Franklin D. Roosevelt	1/7/43	3/4/33	4/12/45	1/9/43	9
75	12.115068493	1	No		World War II	War	16	1/27/43					1	Democrat													Franklin D. Roosevelt	32	Franklin D. Roosevelt	1/27/43	3/4/33	4/12/45	1/30/43	7
71	12.115068493	1	No		World War II	War	19	3/24/43					1	Democrat													Franklin D. Roosevelt	32	Franklin D. Roosevelt	3/24/43	3/4/33	4/12/45	3/27/43	8
65	12.115068493	1	Yes		World War II	War	23	12/15/43				The Great Depression officially ends in the United States: With unemployment figures falling fast due to World War II-related employment, U.S. President Franklin D. Roosevelt closes the Works Progress Administration.	1	Democrat													Franklin D. Roosevelt	32	Franklin D. Roosevelt	12/15/43	3/4/33	4/12/45	12/18/43	10
86	7.780821918	1	Yes		World War II	War	2	5/29/45				Victory over Europe Day - WWII in Europe Ended	1	Democrat										Harry S. Truman				33	Harry S. Truman	5/29/45	4/12/45	1/20/53	6/2/45	10
91	7.780821918	1	Yes		Peace	Peace	2	8/22/45				Nuclear Bombing of Hiroshima & Nagasaki, Victory over Japan Day - WWII in the Pacific Ended	1	Democrat										Harry S. Truman				33	Harry S. Truman	8/22/45	4/12/45	1/20/53	8/25/45	5
80	7.780821918	1	No		Peace	Peace	8	10/3/45					1	Democrat										Harry S. Truman				33	Harry S. Truman	10/3/45	4/12/45	1/20/53	10/6/45	10
75	7.780821918	1	No		Peace	Peace	13	10/31/45					1	Democrat										Harry S. Truman				33	Harry S. Truman	10/31/45	4/12/45	1/20/53	11/3/45	11
63	7.780821918	1	No		Peace	Peace	22	1/3/46					1	Democrat										Harry S. Truman				33	Harry S. Truman	1/3/46	4/12/45	1/20/53	1/5/46	14
48	7.780821918	1	No		Peace	Peace	38	2/27/46					1	Democrat										Harry S. Truman				33	Harry S. Truman	2/27/46	4/12/45	1/20/53	3/2/46	12
50	7.780821918	1	No		Peace	Peace	33	3/27/46					1	Democrat										Harry S. Truman				33	Harry S. Truman	3/27/46	4/12/45	1/20/53	3/30/46	16
45	7.780821918	1	No		Peace	Peace	42	5/29/46					1	Democrat										Harry S. Truman				33	Harry S. Truman	5/29/46	4/12/45	1/20/53	6/1/46	12
45	7.780821918	1	No		Peace	Peace	42	6/12/46					1	Democrat										Harry S. Truman				33	Harry S. Truman	6/12/46	4/12/45	1/20/53	6/15/46	12
33	7.780821918	1	No		Peace	Peace	51	9/11/46					1	Democrat										Harry S. Truman				33	Harry S. Truman	9/11/46	4/12/45	1/20/53	9/14/46	15
27	7.780821918	1	No		Peace	Peace	56	10/21/46					1	Democrat										Harry S. Truman				33	Harry S. Truman	10/21/46	4/12/45	1/20/53	10/26/46	16
34	7.780821918	1	No		Peace	Peace	52	11/13/46					1	Democrat										Harry S. Truman				33	Harry S. Truman	11/13/46	4/12/45	1/20/53	11/16/46	13
49	7.780821918	1	No		Peace	Peace	37	1/15/47					1	Democrat										Harry S. Truman				33	Harry S. Truman	1/15/47	4/12/45	1/20/53	1/18/47	13
58	7.780821918	1	Yes		Peace	Peace	22	3/19/47				"President Truman signed executive order 9835; establishing the Federal Employee Loyalty Program to search out the ""infiltration of disloyal persons"" in the U.S. Government.[284]"	1	Democrat										Harry S. Truman				33	Harry S. Truman	3/14/47	4/12/45	1/20/53	3/22/47	19
63	7.780821918	1	No		Peace	Peace	21	3/26/47					1	Democrat										Harry S. Truman				33	Harry S. Truman	3/26/47	4/12/45	1/20/53	3/29/47	15
57	7.780821918	1	No		Peace	Peace	24	4/23/47					1	Democrat										Harry S. Truman				33	Harry S. Truman	4/23/47	4/12/45	1/20/53	4/26/47	17
64	7.780821918	1	No		Peace	Peace	23	5/28/47					1	Democrat										Harry S. Truman				33	Harry S. Truman	5/23/47	4/12/45	1/20/53	5/31/47	12
55	7.780821918	1	No		Peace	Peace	31	6/18/47					1	Democrat										Harry S. Truman				33	Harry S. Truman	6/18/47	4/12/45	1/20/53	6/21/47	13
59	7.780821918	1	Yes		Peace	Peace	26	7/9/47				The Roswell UFO incident occurred near Roswell, New Mexico.[288]	1	Democrat										Harry S. Truman				33	Harry S. Truman	7/4/47	4/12/45	1/20/53	7/12/47	13
55	7.780821918	1	No		Peace	Peace	27	9/10/47					1	Democrat										Harry S. Truman				33	Harry S. Truman	9/10/47	4/12/45	1/20/53	9/13/47	17
53	7.780821918	1	No		Peace	Peace	32	12/3/47					1	Democrat										Harry S. Truman				33	Harry S. Truman	11/28/47	4/12/45	1/20/53	12/6/47	14
36	7.780821918	1	No		Peace	Peace	49	4/7/48					1	Democrat										Harry S. Truman				33	Harry S. Truman	4/7/48	4/12/45	1/20/53	4/10/48	14
38	7.780821918	1	No		Peace	Peace	45	6/2/48					1	Democrat										Harry S. Truman				33	Harry S. Truman	5/28/48	4/12/45	1/20/53	6/5/48	16
38	7.780821918	1	No		Peace	Peace	45	6/16/48					1	Democrat										Harry S. Truman				33	Harry S. Truman	6/16/48	4/12/45	1/20/53	6/19/48	15
67	7.780821918	1	Yes		Peace	Peace	18	1/5/49				In the 1949 State of the Union Address, President Truman proposed the unsuccessful Fair Deal; his administration's agenda for economic and domestic policy.[301]	1	Democrat										Harry S. Truman				33	Harry S. Truman	1/5/49	4/12/45	1/20/53	1/8/49	14
56	7.780821918	1	No		Peace	Peace	26	3/4/49					1	Democrat										Harry S. Truman				33	Harry S. Truman	3/4/49	4/12/45	1/20/53	3/5/49	17
50	7.780821918	1	No		Peace	Peace	31	4/30/49					1	Democrat										Harry S. Truman				33	Harry S. Truman	4/30/49	4/12/45	1/20/53	4/30/49	18
56	7.780821918	1	No		Peace	Peace	27	6/9/49					1	Democrat										Harry S. Truman				33	Harry S. Truman	6/9/49	4/12/45	1/20/53	6/11/49	15
49	7.780821918	1	No		Peace	Peace	34	10/2/49					1	Democrat										Harry S. Truman				33	Harry S. Truman	9/28/49	4/12/45	1/20/53	10/8/49	16
47	7.780821918	1	No		Peace	Peace	34	10/2/49					1	Democrat										Harry S. Truman				33	Harry S. Truman	9/28/49	4/12/45	1/20/53	10/8/49	18
44	7.780821918	1	No		Peace	Peace	41	1/6/50					1	Democrat										Harry S. Truman				33	Harry S. Truman	1/6/50	4/12/45	1/20/53	1/7/50	13
35	7.780821918	1	No		Peace	Peace	47	2/24/50					1	Democrat										Harry S. Truman				33	Harry S. Truman	2/24/50	4/12/45	1/20/53	2/25/50	17
39	7.780821918	1	No		Peace	Peace	47	4/28/50					1	Democrat										Harry S. Truman				33	Harry S. Truman	4/28/50	4/12/45	1/20/53	4/29/50	13
40	7.780821918	1	No		Peace	Peace	37	5/2/50					1	Democrat										Harry S. Truman				33	Harry S. Truman	5/2/50	4/12/45	1/20/53	5/6/50	22
36	7.780821918	1	No		Peace	Peace	46	6/9/50					1	Democrat										Harry S. Truman				33	Harry S. Truman	6/4/50	4/12/45	1/20/53	6/10/50	17
45	7.780821918	1	No		Korean War	War	39	7/7/50					1	Democrat										Harry S. Truman				33	Harry S. Truman	7/7/50	4/12/45	1/20/53	7/8/50	14
39	7.780821918	1	No		Korean War	War	44	7/28/50					1	Democrat										Harry S. Truman				33	Harry S. Truman	7/28/50	4/12/45	1/20/53	7/29/50	16
42	7.780821918	1	No		Korean War	War	32	8/18/50					1	Democrat										Harry S. Truman				33	Harry S. Truman	8/18/50	4/12/45	1/20/53	8/19/50	25
34	7.780821918	1	No		Korean War	War	47	9/15/50					1	Democrat										Harry S. Truman				33	Harry S. Truman	9/15/50	4/12/45	1/20/53	9/16/50	17
34	7.780821918	1	No		Korean War	War	50	9/29/50					1	Democrat										Harry S. Truman				33	Harry S. Truman	9/29/50	4/12/45	1/20/53	9/30/50	14
42	7.780821918	1	Yes		Korean War	War	36	10/6/50				The comic strip Peanuts, by Charles M. Schulz, was first published.[314]	1	Democrat										Harry S. Truman				33	Harry S. Truman	10/6/50	4/12/45	1/20/53	10/7/50	21
36	7.780821918	1	No		Korean War	War	48	10/11/50					1	Democrat										Harry S. Truman				33	Harry S. Truman	10/11/50	4/12/45	1/20/53	10/14/50	14
40	7.780821918	1	No		Korean War	War	45	10/18/50					1	Democrat										Harry S. Truman				33	Harry S. Truman	10/18/50	4/12/45	1/20/53	10/21/50	13
33	7.780821918	1	No		Korean War	War	52	12/1/50					1	Democrat										Harry S. Truman				33	Harry S. Truman	12/1/50	4/12/45	1/20/53	12/2/50	13
25	7.780821918	1	No		Korean War	War	58	2/9/51					1	Democrat										Harry S. Truman				33	Harry S. Truman	2/4/51	4/12/45	1/20/53	2/10/51	15
27	7.780821918	1	Yes		Korean War	War	58	3/2/51				The Twenty-second Amendment to the United States Constitution, establishing term limits for President, was ratified.[316]	1	Democrat										Harry S. Truman				33	Harry S. Truman	3/2/51	4/12/45	1/20/53	3/3/51	14
26	7.780821918	1	No		Korean War	War	60	3/24/51					1	Democrat										Harry S. Truman				33	Harry S. Truman	3/24/51	4/12/45	1/20/53	3/24/51	12
24	7.780821918	1	Yes		Korean War	War	54	4/14/51				President Truman relieved General Douglas MacArthur of his commands after criticizing the limited war efforts of the Truman administration, and starting unauthorized talks with China in the Korean war.[317]	1	Democrat										Harry S. Truman				33	Harry S. Truman	4/14/51	4/12/45	1/20/53	4/14/51	20
23	7.780821918	1	No		Korean War	War	63	5/24/51					1	Democrat										Harry S. Truman				33	Harry S. Truman	5/19/51	4/12/45	1/20/53	5/26/51	12
24	7.780821918	1	No		Korean War	War	61	6/14/51					1	Democrat										Harry S. Truman				33	Harry S. Truman	6/14/51	4/12/45	1/20/53	6/16/51	13
28	7.780821918	1	No		Korean War	War	56	7/6/51					1	Democrat										Harry S. Truman				33	Harry S. Truman	7/6/51	4/12/45	1/20/53	7/7/51	14
29	7.780821918	1	No		Korean War	War	58	8/1/51					1	Democrat										Harry S. Truman				33	Harry S. Truman	8/1/51	4/12/45	1/20/53	8/4/51	10
27	7.780821918	1	Yes		Korean War	War	58	10/12/51				The Mutual Security Act was signed into law.[320]	1	Democrat										Harry S. Truman				33	Harry S. Truman	10/12/51	4/12/45	1/20/53	10/13/51	12
22	7.780821918	1	No		Korean War	War	60	11/16/51					1	Democrat										Harry S. Truman				33	Harry S. Truman	11/11/51	4/12/45	1/20/53	11/17/51	16
23	7.780821918	1	No		Korean War	War	66	1/4/52					1	Democrat										Harry S. Truman				33	Harry S. Truman	1/4/52	4/12/45	1/20/53	1/5/52	9
22	7.780821918	1	No		Korean War	War	64	2/14/52					1	Democrat										Harry S. Truman				33	Harry S. Truman	2/9/52	4/12/45	1/20/53	2/16/52	13
28	7.780821918	1	No		Korean War	War	60	4/11/52					1	Democrat										Harry S. Truman				33	Harry S. Truman	4/11/52	4/12/45	1/20/53	4/12/52	11
26	7.780821918	1	No		Korean War	War	60	5/9/52					1	Democrat										Harry S. Truman				33	Harry S. Truman	5/9/52	4/12/45	1/20/53	5/10/52	12
30	7.780821918	1	No		Korean War	War	59	5/28/52					1	Democrat										Harry S. Truman				33	Harry S. Truman	5/28/52	4/12/45	1/20/53	5/31/52	6
28	7.780821918	1	No		Korean War	War	58	7/11/52					1	Democrat										Harry S. Truman				33	Harry S. Truman	7/11/52	4/12/45	1/20/53	7/12/52	11
32	7.780821918	1	No		Korean War	War	54	10/1/52					1	Democrat										Harry S. Truman				33	Harry S. Truman	10/1/52	4/12/45	1/20/53	10/4/52	11
30	7.780821918	1	No		Korean War	War	56	10/3/52					1	Democrat										Harry S. Truman				33	Harry S. Truman	10/3/52	4/12/45	1/20/53	10/4/52	11
32	7.780821918	1	No		Korean War	War	55	10/7/52					1	Democrat										Harry S. Truman				33	Harry S. Truman	10/7/52	4/12/45	1/20/53	10/11/52	11
32	7.780821918	1	No		Korean War	War	56	12/4/52					1	Democrat										Harry S. Truman				33	Harry S. Truman	12/4/52	4/12/45	1/20/53	12/6/52	11
32	7.780821918	1	No		Korean War	War	56	12/16/52					1	Democrat										Harry S. Truman				33	Harry S. Truman	12/11/52	4/12/45	1/20/53	12/20/52	12
68	8.005479452	1	No		Korean War	War	7	2/5/53					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	2/1/53	1/20/53	1/20/61	2/7/53	25
66	8.005479452	1	No		Korean War	War	7	2/20/53					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	2/20/53	1/20/53	1/20/61	2/21/53	25
73	8.005479452	1	No		Korean War	War	7	4/2/53					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	3/28/53	1/20/53	1/20/61	4/4/53	18
73	8.005479452	1	Yes		Korean War	War	10	4/24/53				Molecular biologists James Watson and Francis Crick published their paper on the discovery of the molecular structure of DNA.[323][324]	1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	4/19/53	1/20/53	1/20/61	4/25/53	17
73	8.005479452	1	No		Korean War	War	10	5/14/53					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	5/9/53	1/20/53	1/20/61	5/16/53	15
72	8.005479452	1	Yes		Peace	Peace	12	7/23/53				The Korean Armistice Agreement was signed, ending the Korean War.[327]	1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	7/23/53	1/20/53	1/20/61	7/25/53	14
73	8.005479452	1	No		Peace	Peace	14	8/20/53					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	8/15/53	1/20/53	1/20/61	8/22/53	0
60	8.005479452	1	No		Peace	Peace	20	9/17/53					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	9/12/53	1/20/53	1/20/61	9/19/53	17
64	8.005479452	1	No		Peace	Peace	19	10/14/53					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	10/9/53	1/20/53	1/20/61	10/17/53	16
61	8.005479452	1	No		Peace	Peace	25	11/5/53					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	11/1/53	1/20/53	1/20/61	11/7/53	13
68	8.005479452	1	No		Peace	Peace	21	12/9/53					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	12/9/53	1/20/53	1/20/61	12/12/53	9
70	8.005479452	1	No		Peace	Peace	18	1/7/54					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	1/7/54	1/20/53	1/20/61	1/9/54	10
70	8.005479452	1	No		Peace	Peace	17	1/26/54					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	1/26/54	1/20/53	1/20/61	1/30/54	11
66	8.005479452	1	No		Peace	Peace	21	2/23/54					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	2/23/54	1/20/53	1/20/61	2/27/54	12
64	8.005479452	1	No		Peace	Peace	22	3/17/54					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	3/17/54	1/20/53	1/20/61	3/20/54	11
60	8.005479452	1	No		Peace	Peace	22	4/3/54					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	4/3/54	1/20/53	1/20/61	4/3/54	16
68	8.005479452	1	No		Peace	Peace	21	4/13/54					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	4/8/54	1/20/53	1/20/61	4/17/54	9
61	8.005479452	1	No		Peace	Peace	23	5/26/54					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	5/21/54	1/20/53	1/20/61	5/29/54	14
61	8.005479452	1	Yes		Peace	Peace	23	6/17/54				Operation PBSUCCESS: The CIA organized the overthrow of Guatemala's democratically elected President Jacobo Arbenz Guzmán.[335][336][337]	1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	6/12/54	1/20/53	1/20/61	6/19/54	13
64	8.005479452	1	No		Peace	Peace	21	6/30/54					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	6/30/54	1/20/53	1/20/61	7/3/54	14
74	8.005479452	1	No		Peace	Peace	20	7/21/54					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	7/16/54	1/20/53	1/20/61	7/24/54	5
67	8.005479452	1	No		Peace	Peace	18	8/3/54					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	8/3/54	1/20/53	1/20/61	8/7/54	13
61	8.005479452	1	No		Peace	Peace	22	8/24/54					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	8/24/54	1/20/53	1/20/61	8/28/54	15
65	8.005479452	1	No		Peace	Peace	21	9/21/54					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	9/16/54	1/20/53	1/20/61	9/25/54	12
61	8.005479452	1	No		Peace	Peace	25	10/13/54					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	10/13/54	1/20/53	1/20/61	10/16/54	12
57	8.005479452	1	Yes		Vietnam War	War	23	11/16/54				Vietnam War Begins	1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	11/11/54	1/20/53	1/20/61	11/20/54	18
68	8.005479452	1	Yes		Vietnam War	War	23	11/30/54				The United States and the Republic of China signed the Sino-American Mutual Defense Treaty, amid the First Taiwan Strait Crisis.[340]	1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	11/30/54	1/20/53	1/20/61	12/4/54	7
69	8.005479452	1	No		Vietnam War	War	17	1/5/55					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	12/31/54	1/20/53	1/20/61	1/8/55	12
69	8.005479452	1	No		Vietnam War	War	17	1/18/55					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	1/18/55	1/20/53	1/20/61	1/22/55	13
72	8.005479452	1	No		Vietnam War	War	15	2/15/55					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	2/10/55	1/20/53	1/20/61	2/19/55	12
70	8.005479452	1	No		Vietnam War	War	16	3/1/55					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	3/1/55	1/20/53	1/20/61	3/5/55	12
64	8.005479452	1	No		Vietnam War	War	22	3/22/55					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	3/22/55	1/20/53	1/20/61	3/26/55	12
69	8.005479452	1	No		Vietnam War	War	14	4/19/55					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	4/14/55	1/20/53	1/20/61	4/23/55	16
67	8.005479452	1	No		Vietnam War	War	16	5/17/55					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	5/12/55	1/20/53	1/20/61	5/21/55	15
69	8.005479452	1	No		Vietnam War	War	15	6/8/55					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	6/3/55	1/20/53	1/20/61	6/11/55	14
67	8.005479452	1	No		Vietnam War	War	15	6/22/55					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	6/22/55	1/20/53	1/20/61	6/25/55	17
72	8.005479452	1	No		Vietnam War	War	17	7/12/55					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	7/12/55	1/20/53	1/20/61	7/16/55	9
75	8.005479452	1	No		Vietnam War	War	11	8/2/55					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	8/2/55	1/20/53	1/20/61	8/6/55	13
70	8.005479452	1	No		Vietnam War	War	15	8/23/55					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	8/23/55	1/20/53	1/20/61	8/27/55	13
70	8.005479452	1	No		Vietnam War	War	16	9/13/55					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	9/13/55	1/20/53	1/20/61	9/17/55	12
77	8.005479452	1	No		Vietnam War	War	13	11/22/55					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	11/17/55	1/20/53	1/20/61	11/26/55	9
74	8.005479452	1	Yes		Vietnam War	War	12	12/6/55				The American Federation of Labor and Congress of Industrial Organizations merged into the AFL-CIO, becoming the largest labor union in the United States.[350]	1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	12/6/55	1/20/53	1/20/61	12/10/55	11
76	8.005479452	1	No		Vietnam War	War	11	1/4/56					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	1/4/56	1/20/53	1/20/61	1/7/56	11
76	8.005479452	1	No		Vietnam War	War	13	1/24/56					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	1/24/56	1/20/53	1/20/61	1/28/56	8
74	8.005479452	1	No		Vietnam War	War	15	2/14/56					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	2/14/56	1/20/53	1/20/61	2/18/56	10
72	8.005479452	1	No		Vietnam War	War	17	3/6/56					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	3/6/56	1/20/53	1/20/61	3/10/56	10
72	8.005479452	1	No		Vietnam War	War	17	4/3/56					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	3/29/56	1/20/53	1/20/61	4/7/56	10
69	8.005479452	1	No		Vietnam War	War	16	5/8/56					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	5/8/56	1/20/53	1/20/61	5/12/56	13
71	8.005479452	1	No		Vietnam War	War	18	5/29/56					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	5/29/56	1/20/53	1/20/61	6/2/56	9
72	8.005479452	1	No		Vietnam War	War	18	6/13/56					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	6/13/56	1/20/53	1/20/61	6/16/56	8
69	8.005479452	1	No		Vietnam War	War	20	7/10/56					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	7/10/56	1/20/53	1/20/61	7/14/56	9
67	8.005479452	1	No		Vietnam War	War	19	8/1/56					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	8/1/56	1/20/53	1/20/61	8/4/56	13
74	8.005479452	1	No		Vietnam War	War	14	11/20/56					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	11/20/56	1/20/53	1/20/61	11/24/56	10
77	8.005479452	1	Yes		Vietnam War	War	11	12/19/56				Eisenhowers support of desegregation efforts boosts his approval ratings.	1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	12/14/56	1/20/53	1/20/61	12/22/56	10
73	8.005479452	1	No		Vietnam War	War	13	1/22/57					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	1/17/57	1/20/53	1/20/61	1/26/57	12
72	8.005479452	1	No		Vietnam War	War	15	2/12/57					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	2/5/57	1/20/53	1/20/61	2/16/57	11
71	8.005479452	1	No		Vietnam War	War	17	3/5/57					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	2/28/57	1/20/53	1/20/61	3/9/57	10
65	8.005479452	1	No		Vietnam War	War	19	3/20/57					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	3/15/57	1/20/53	1/20/61	3/23/57	14
66	8.005479452	1	No		Vietnam War	War	20	4/11/57					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	4/6/57	1/20/53	1/20/61	4/13/57	12
62	8.005479452	1	No		Vietnam War	War	22	4/30/57					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	4/25/57	1/20/53	1/20/61	5/4/57	14
61	8.005479452	1	No		Vietnam War	War	22	5/15/57					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	5/15/57	1/20/53	1/20/61	5/18/57	14
63	8.005479452	1	No		Vietnam War	War	22	6/11/57					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	6/6/57	1/20/53	1/20/61	6/15/57	14
63	8.005479452	1	No		Vietnam War	War	22	6/25/57					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	6/25/57	1/20/53	1/20/61	6/29/57	13
64	8.005479452	1	No		Vietnam War	War	22	7/23/57					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	7/18/57	1/20/53	1/20/61	7/27/57	13
62	8.005479452	1	No		Vietnam War	War	19	8/6/57					1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	8/6/57	1/20/53	1/20/61	8/10/57	17
57	8.005479452	1	Yes		Vietnam War	War	27	9/24/57				President Eisenhower federalized the Arkansas National Guard and sent members of the 101st Airborne Division to escort the Little Rock Nine to their classrooms in response to Governor Faubus' efforts preventing school desegregation.[358]	1	Republican									Dwight D. Eisenhower					34	Dwight D. Eisenhower	9/19/57	1/20/53	1/20/61	9/28/57	14
